code,description
J9070,Cyclophosphamide 100 mg
J9100,Injection cytarabine 100 mg
J9263,Injection oxaliplatin 0.5 mg
J9355,Injection trastuzumab 10 mg
L0140,Cervical multiple post collar molded
L0450,TLSO flexible custom fabricated
L1832,Knee orthosis adjustable knee joints positional orthosis rigid support prefabricated
L1845,Knee orthosis double upright thigh and calf with adjustable flexion and extension joint
L1902,Ankle foot orthosis ankle gauntlet
L1971,Ankle foot orthosis plastic with ankle joint prefabricated
L3650,Shoulder orthosis figure of eight design abduction restrainer
L3908,Wrist hand orthosis wrist extension control cock-up non molded prefabricated
L3960,Shoulder elbow wrist hand orthosis airplane design abduction positioning custom fabricated
M1003,Anti-thrombotic therapy prescribed at discharge
P9010,Blood whole for transfusion per unit
P9612,Catheterization for collection of specimen single patient all places of service
P9615,Catheterization for collection of specimen multiple patients
Q3014,Telehealth originating site facility fee
Q4001,Casting supplies body cast adult with or without head plaster
Q4010,Cast supplies short arm cast adult 11 years plus fiberglass
Q4081,Injection epoetin alfa 100 units for ESRD on dialysis
Q5101,Injection filgrastim-sndz biosimilar 1 microgram
R0070,Transportation of portable x-ray equipment and personnel to home or nursing home single patient
S0257,Counseling and discussion regarding advance directives or end of life care planning
S9123,Nursing care in the home by registered nurse per hour
S9124,Nursing care in the home by licensed practical nurse per hour
S9131,Physical therapy in the home per diem
T1019,Personal care services per 15 minutes
T1023,Screening to determine the appropriateness of consideration for program participation
V2020,Frames purchases
V2100,Sphere single vision plano to plus or minus 4.00 per lens
V2200,Sphere bifocal plano to plus or minus 4.00 per lens
V2300,Sphere trifocal plano to plus or minus 4.00 per lens
V5020,Conformity evaluation hearing aid
V5261,Hearing aid digital binaural ITE
